iter	Passed	Remaining
646	17989	9814
647	18014	9785
648	18037	9755
649	18059	9724
650	18082	9694
651	18105	9663
652	18145	9642
653	18178	9617
654	18204	9588
655	18227	9558
656	18250	9527
657	18272	9497
658	18296	9467
659	18322	9438
660	18348	9410
661	18372	9380
662	18403	9354
663	18426	9324
664	18450	9294
665	18476	9266
666	18498	9235
667	18526	9207
668	18552	9179
669	18576	9149
670	18600	9120
671	18625	9090
672	18651	9062
673	18676	9033
674	18699	9003
675	18729	8976
676	18754	8947
677	18778	8918
678	18801	8888
679	18825	8859
680	18848	8829
681	18870	8798
682	18894	8769
683	18917	8739
684	18941	8710
685	18966	8681
686	18991	8652
687	19014	8622
688	19039	8594
689	19064	8565
690	19086	8535
691	19109	8505
692	19133	8476
693	19159	8448
694	19185	8419
695	19209	8390
696	19234	8361
697	19259	8332
698	19282	8303
699	19307	8274
700	19335	8247
701	19362	8219
702	19389	8191
703	19414	8162
704	19438	8133
705	19463	8105
706	19488	8076
707	19511	8047
708	19534	8017
709	19557	7988
710	19583	7960
711	19610	7932
712	19633	7903
713	19659	7874
714	19682	7845
715	19706	7816
716	19729	7787
717	19754	7758
718	19777	7729
719	19803	7701
720	19829	7673
721	19856	7645
722	19884	7618
723	19909	7589
724	19945	7565
725	19977	7539
726	20010	7514
727	20036	7486
728	20060	7457
729	20085	7428
730	20109	7400
731	20134	7371
732	20160	7343
733	20182	7314
734	20204	7284
735	20229	7256
736	20255	7228
737	20278	7199
738	20301	7170
739	20327	7142
740	20356	7115
741	20381	7086
742	20404	7057
743	20428	7029
744	20455	7001
745	20478	6972
746	20505	6944
747	20528	6916
748	20554	6888
749	20578	6859
750	20600	6830
751	20623	6801
752	20647	6772
753	20674	6745
754	20699	6717
755	20725	6689
756	20759	6663
757	20786	6636
758	20810	6607
759	20832	6578
760	20858	6550
761	20884	6522
762	20909	6494
763	20935	6467
764	20961	6439
765	20986	6411
766	21009	6382
767	21036	6354
768	21065	6327
769	21090	6299
770	21118	6272
771	21151	6246
772	21186	6221
773	21213	6194
774	21249	6169
775	21282	6143
776	21320	6119
777	21351	6092
778	21452	6086
779	21540	6075
780	21623	6063
781	21713	6053
782	21764	6031
783	21815	6010
784	21890	5995
785	21942	5974
786	21990	5951
787	22065	5936
788	22110	5912
789	22149	5887
790	22186	5862
791	22224	5836
792	22259	5810
793	22284	5781
794	22309	5752
795	22334	5723
796	22357	5694
797	22381	5665
798	22405	5636
799	22433	5608
800	22461	5580
801	22486	5551
802	22513	5523
803	22537	5494
804	22561	5465
805	22586	5436
806	22610	5407
807	22634	5378
808	22661	5350
809	22685	5321
810	22710	5292
811	22734	5263
812	22760	5235
813	22789	5207
814	22815	5178
815	22840	5150
816	22865	5121
817	22894	5093
818	22924	5066
819	22952	5038
820	22987	5011
821	23016	4984
822	23043	4955
823	23173	4949
824	23210	4923
825	23263	4900
826	23308	4875
827	23345	4849
828	23389	4824
829	23434	4799
830	23473	4773
831	23523	4749
832	23584	4728
833	23634	4704
834	23658	4675
835	23685	4646
836	23720	4619
837	23749	4591
838	23776	4562
839	23804	4534
840	23832	4505
841	23867	4478
842	23908	4452
843	23938	4424
844	23966	4396
845	23997	4368
846	24027	4340
847	24054	4311
848	24081	4283
849	24105	4253
850	24133	4225
851	24160	4196
852	24187	4168
853	24221	4140
854	24245	4111
855	24268	4082
856	24294	4053
857	24319	4024
858	24344	3996
859	24368	3967
860	24393	3938
861	24418	3909
862	24443	3880
863	24470	3851
864	24496	3823
865	24520	3794
866	24547	3765
867	24584	3738
868	24616	3710
869	24644	3682
870	24667	3653
871	24690	3624
872	24714	3595
873	24737	3566
874	24764	3537
875	24789	3508
876	24814	3480
877	24839	3451
878	24866	3423
879	24896	3395
880	24920	3366
881	24946	3337
882	24972	3308
883	25007	3281
884	25059	3256
885	25094	3228
886	25123	3200
887	25156	3172
888	25183	3144
889	25224	3117
890	25266	3090
891	25304	3063
892	25349	3037
893	25408	3012
894	25526	2994
895	25567	2967
896	25620	2941
897	25659	2914
898	25694	2886
899	25720	2857
900	25752	2829
901	25794	2802
902	25858	2777
903	25900	2750
904	25943	2723
905	25982	2695
906	26005	2666
907	26031	2637
908	26063	2609
909	26104	2581
910	26132	2553
911	26158	2524
912	26182	2494
913	26208	2466
914	26233	2437
915	26258	2407
916	26288	2379
917	26313	2350
918	26337	2321
919	26382	2294
920	26443	2268
921	26488	2240
922	26525	2212
923	26550	2183
924	26575	2154
925	26599	2125
926	26622	2096
927	26645	2067
928	26670	2038
929	26699	2009
930	26725	1980
931	26751	1951
932	26776	1922
933	26804	1894
934	26828	1865
935	26849	1835
936	26871	1806
937	26895	1777
938	26918	1748
939	26942	1719
940	26966	1690
941	26988	1661
942	27011	1632
943	27041	1604
944	27062	1575
945	27088	1546
946	27124	1518
947	27159	1489
948	27185	1460
949	27212	1432
950	27248	1403
951	27275	1375
952	27300	1346
953	27323	1317
954	27351	1288
955	27377	1260
956	27401	1231
957	27429	1202
958	27465	1174
959	27502	1145
960	27528	1117
961	27555	1088
962	27580	1059
963	27606	1030
964	27632	1002
965	27657	973
966	27682	944
967	27706	915
968	27732	887
969	27761	858
970	27785	829
971	27810	801
972	27839	772
973	27864	743
974	27889	715
975	27911	686
976	27933	657
977	27956	628
978	27982	600
979	28008	571
980	28036	543
981	28062	514
982	28086	485
983	28110	457
984	28137	428
985	28166	399
986	28190	371
987	28218	342
988	28242	314
989	28267	285
990	28292	256
991	28315	228
992	28341	199
993	28365	171
994	28390	142
995	28414	114
996	28439	85
997	28465	57
998	28491	28
999	28517	0
